album,year,song,lyrics
Love Yourself Her,2017,INTRO: Serendipity,"All this is no coincidence
Just, just, by my feeling
The whole world is different from yesterday
Just, just, with your joy

When you called me
I became your flower
As if we were waiting
We bloom until we ache

Maybe it’s the providence of the universe
It just had to be that
You know, I know
You are me, I am you

As much as my heart flutters, I’m worried
The destiny is jealous of us
Just like you I’m so scared
When you see me, when you touch me

The universe has moved for us
Without missing a single thing
Our happiness was meant to be
Cuz you love me, and I love you

You’re my penicillium, saving me, saving me
My angel, my world
I’m your Calico cat, here to see you
Love me now, touch me now

Just let me love you (let me love, let me love you)
Just let me love you (let me love, let me love you)
Since the creation of the universe
Everything was destined
Just let me love you (let me love, let me love you)
Just let me love you (let me love, let me love you)

Let me love, let me love you
Let me love, let me love you"
Love Yourself Her,2017,DNA,"[Verse 1: V]
At first sight, I could recognize you
As if we were calling for each other
The DNA in my blood vessels tell me
That it’s you I was looking all over for

[Verse 2: J-Hope, RM]
Our meeting is like a mathematical formula
Commandments of religion, providence of the universe;
The evidence of destiny given to me
You’re the source of my dream
Take it, take it
My hand reaching out to you is my chosen fate

[Pre-Chorus: Jungkook, V]
Don’t worry, love
None of this is a coincidence
We’re totally different, baby
Because we’re the two who found our destiny

[Chorus: Jimin]
From the day of the universe’s creation and beyond
Through the infinite centuries and beyond
In the previous life and maybe the next too
We’re eternally together

[Hook: Jungkook]
None of this is a coincidence
Because we’re the two who found our destiny
DNA

[Verse 3: Suga, RM]
I want it this love I want it real love
I only focus on you
You steer me a little harder
The DNA of the genesis wants you
This is inevitable, I love us
We are the only true lovers

[Verse 4: Jungkook, Suga]
Every time I see her, I freak out
Surprisingly, I keep gasping and it’s weird, maybe
This is the emotion they call love
Because from the very beginning, my heart runs to you

[Pre-Chorus: Jin]
Don’t worry, love
None of this is a coincidence
We’re totally different, baby
Because we’re the two who found our destiny

[Chorus: Jungkook, Jimin]
From the day of the universe’s creation and beyond
Through the infinite centuries and beyond
In the previous life and maybe the next too
We’re eternally together

[Hook: Jungkook]
None of this is a coincidence
Because we’re the two who found our destiny
DNA

[Bridge: V, Jin, Jungkook, Jimin]
Don’t look back
Because we're the two who found our destiny
Don’t regret it, baby
Because we're forever
Forever
Forever
Forever
Forever
We are together

[Pre-Chorus: Jungkook, Jimin]
Don’t worry, love
None of this is a coincidence
We’re totally different, baby
Because we’re the two who found our destiny

[Outro: J-Hope, Jungkook]
La la la la la
La la la la la
Because it’s not a coincidence
La la la la la
La la la la la
Because it’s not a coincidence
DNA"
Love Yourself Her,2017,Best Of Me,"[Intro: Jimin, Jungkook]
When you say that you love me
I walk above the clouds
Tell me about eternity just one more time
When you say that you love me
All I need is that one phrase
That you’ll never change, just one more time

[Bridge: Jin, V]
You're like the whole world to me
Hug me harder and more painfully
That something that we shared
And you can’t make it nothing
I hope you don’t forget
That you’re my

[Chorus: Jungkook, V]
Day by day
Summer, winter
Even if you don’t know

[Hook 1: All]
You got the best of me
You got the best of me
So please just don’t leave me
You got the best of me

[Verse 1: Rap Monster]
Even though I haven't seen my limits
But if it exists, It's probably you
I wanted to be the tender waves
But why didn’t I know you were the sea?
What do I do?
I speak with your language
And I breathe in your air
I’ll be you, I'll be in your grasp
As I kiss your sword

[Verse 2: Suga]
So take my hand right now
I don't believe that I'm like this
The words I've said to myself a million times
Please, don’t leave me
You got the best of me
You got the best of me
It's not important if it's a dream or reality
Only the fact that you're by my side
Thanks

[Chorus: V/Jin, Jin]
Day by day
Summer, winter
Even if you may be unaware

[Hook 1: All]
You got the best of me
You got the best of me
So please just don’t leave me
You got the best of me

[Hook 2: Jimin, Jungkook]
You’re my savior, you’re my window
All I need is you
You got the best of me
I need you
So please just don’t leave me
You got the best of me

[Refrain 1: Jimin, Jungkook]
I used to rain
I used to snow
I stop all the misfortune
And I bring the heavens
Don't speak of it so lightly
There's no me without you
You’re the best of me
The best of me

[Refrain 2: J-Hope]
You just give me the confidence within myself
That's all I wanted
There may not be rules between us
But the way to love exists
Who got the best of me?
Who got the best of me?
No one knows but I know me
You are my best master

[Hook 1: All]
You got the best of me
You got the best of me
So please just don’t leave me
You got the best of me

[Hook 2: Jungkook, V]
You’re my savior, you’re my window
All I need is you
You got the best of me
I need you
So please just don’t leave me
You got the best of me

[Outro: Jimin, Jungkook]
When you say that you love me
I walk above the clouds
Tell me of eternity, just one more time
When you say that you love me
All I need is that one phrase
That you’ll never change, just one more time"
Love Yourself Her,2017,Dimple,"[Verse 1: V, Jimin]
You hide but only appear when you smile
Where did you come from?
Don’t lie, I know you’re an angel
What are you?

[Verse 2: Jungkook, Jin, Jimin]
But you
That smile is so cruel
Cruel
I shouldn’t have seen that cheek
You
What’s really dangerous
Is only in your possession

[Chorus: Jungkook, Jimin, Jin, V]
That dimple is illegal ille~gal
No, it’s dangerous, oh yes
So I call you illegirl ille~girl
Your existence alone is a crime
Was it a mistake made by an angel?
Or a deep kiss?
That dimple is illegal ille~gal
But I want it anyway anyway anyway

[Verse 2: Jin, Jungkook]
I don’t have it, only you have it
Is that why it’s so hard?
I wanna die fallen in you, I wanna die locked in you
You are my lake

[Pre-Chorus: Jungkook, V, Jimin, Jin]
Cause you
When you smile, I get dizzy
True
Please be careful
You
What’s really dangerous
Is only in your possession

[Chorus: V, Jungkook, Jin, Jimin]
That dimple is illegal ille~gal
No, it’s dangerous, oh yes
So I call you illegirl ille~girl
Your existence alone is a crime
Was it a mistake made by an angel?
Or a deep kiss?
That dimple is illegal ille~gal
But I want it anyway anyway anyway

[Bridge: V, Jimin, Jin, Jungkook]
Every time I see you, my heart gets dangerous
Every time I see you, it gets more dangerous
Oh baby no hey
Oh baby no hey
You’re too dangerous to live in this world

[Chorus: Jungkook, Jimin, Jin, V]
That dimple is illegal ille~gal
No, it’s dangerous, oh yes
So I call you illegirl ille~girl
Your existence alone is a crime
Was it a mistake made by an angel?
Or a deep kiss?
That dimple is illegal ille~gal
But I want it anyway anyway anyway

[Outro: Jungkook]
Ille~gal
Ille~gal
But I want it anyway anyway anyway"
Love Yourself Her,2017,Pied Piper,"[Verse 1: Jungkook]
It’s bad so it’s better
You know on the inside
You can’t stop it now (you can’t stop)
So be honest with me

[Verse 2: Rap Monster]
Stop
Now stop watching and study for your test
Your parents and boss hate me
Video clips, pictures, tweets
V app, Bon Voyage
I know, you can’t help what you like
But stop, interpret the music video later
You have so many pictures of me in your room anyway
It’s not just one hour, it’s a whole year that’ll disappear
So this song is an award I’m giving to you
Good

[Pre-Chorus: Jin, V]
You’re not being punished
Come here, I’m your paradise
Can’t close your eyes
Can’t close your eyes
You can throw a fit but it’s no use
(Don’t reject me)
Just close your eyes, tune your ears

[Chorus: Jimin, Jungkook]
Follow the sound of the pipe, follow this song
It’s a bit dangerous but I’m so sweet
I’m here to save you, I’m here to ruin you
You called me, see? I’m so sweet
Follow the sound of the pipe
I’m takin’ over you
I’m takin’ over you

[Verse 3: V, Suga]
You know that it’s already begun
The moment you hear that sound
Maybe I’m a bit dangerous
Like the pied piper
I’m testing you
Like the fruit from the tree of good and evil

[Verse 4: J-Hope]
My pipe awakens everything
That sound burns you up even more
You’re pulled by it, you react
I’m endlessly blowing
I’m your guilty pleasure
You can’t escape
Never

[Pre-Chorus: Jungkook, Jimin]
You’re not being punished
Come here, I’m your paradise
Can’t close your eyes
Can’t close your eyes
You can throw a fit but it’s no use
(Don’t reject me)
Just close your eyes, tune your ears

[Chorus: Jin, V]
Follow the sound of the pipe, follow this song
It’s a bit dangerous but I’m so sweet
I’m here to save you, I’m here to ruin you
You called me, see? I’m so sweet
Follow the sound of the pipe

[Bridge: Jungkook]
Yeah, I’m a bit dangerous
I can’t even handle myself
Don’t worry, my hands
They’re only warm for you

[Outro: Jimin, Jungkook]
If I’m ruining you right now
Please forgive me
Because you can’t live without me
Because you know all of this
I’m takin’ over you
I’m takin’ over you"
Love Yourself Her,2017,SKIT: Billboard Music Awards Speech,
Love Yourself Her,2017,MIC Drop,"Yeah, who says my spoon is dirty?
I don’t care, when I grab the mic, I have several gold spoons
Several uncooked steaks over there make me mad
Once again, I’ll chew you all up, on the night of the stars
Center of World Business
1st on the recruitment list, sold out
This class is not common, enjoy this value
Bad odors with good scents are against the rules
Mic mic bungee

Mic mic bungee
Bright lights, going forward
You thought I was gonna fail but I’m fine, sorry
Sorry, Billboard
Sorry, worldwide
Sorry mom, your son’s too hot
I’m being a good son in place of you
No cons in our concerts
I do it, I do it, you’re a bad ratatouille
If you’re jealous, sue me
Sue it

Did you see my bag
Did you see my bag
My bag’s filled with trophies
How you think bout that
How you think bout that
Haters are already giving up

My success is already so golden
I’m so firin’ firin’ like a torchbearer
You’re rushing to run away
How you dare
How you dare
How you dare

So many trophies in my hands
Too heavy, my hands aren’t enough
Mic drop
Mic drop
Careful of your feet
Careful of what you say

Lodi dodi, I’m so busy
Too busy, my one body isn’t enough
Mic drop
Mic drop
Careful of your feet
Careful of what you say

This is the the exact saying
Right will prevail in the end
Once upon a time
Aesop’s Fables, fly
Look at your reality, too bad
Even if I die now, I’m damn happy
Which country are we going to this time?
Spending hours on a plane
Yeah I’m on the mountain
Yeah I’m on the bay
Total exhaustion on the stage
Mic drop bam

Did you see my bag
Did you see my bag
My bag’s filled with trophies
How you think bout that
How you think bout that
Haters are already giving up

My success is already so golden
I’m so firin’ firin’ like a torchbearer
You’re rushing to run away
How you dare
How you dare
How you dare

So many trophies in my hands
Too heavy, my hands aren’t enough
Mic drop
Mic drop
Careful of your feet
Careful of what you say

Lodi dodi, I’m so busy
Too busy, my one body isn’t enough
Mic drop
Mic drop
Careful of your feet
Careful of what you say

Haters gon’ hate
Players gon’ play
Live a life. man
Good luck

No need to see each other ever again, this is my last goodbye
Nothing more left to say, don’t even apologize
No need to see each other ever again, this is my last goodbye
Nothing more left to say, don’t even apologize

Look closely, look at your pathetic self
We shoot up just like coca cola
Your corneas will be so shocked
Cause we’re just so cool"
Love Yourself Her,2017,Go (Go Go),"Dollar dollar
Haruachime jeonbu tangjin
Dallyeo dallyeo naega beoreo naega sachi
Dallyeo dallyeo dallyeo dallyeo
Dallyeo dallyeo
Nan wonhae cruisin’ on the bay
Wonhae cruisin’ like Nemo
Doneun eopjiman tteonago shipeo meolliro
Nan doneun eopjimanseodo pulgo shipeo piro
Don eopjiman meokgo shipeo ono jiro

Yeoril haeseo beon naye pay
Jeonbu da nae baee
Tikkeul moa tikkeul tangjinjaem da jibulhae
Naebeoryeodwo gwasobi haebeoryeodo
Naeil achim naega michinnomcheoreom
Nae jeokgeumeul kkaebeoryeodo

Woo naeireun eopseo
Nae miraen beolsseo jeodang japhyeosseo
Woo nae doneul deo sseo
Chingudeul wassup
Do you want some?

Dollar dollar
Haruachime jeonbu tangjin
Dallyeo dallyeo man I spend it like some party
Dollar dollar
Jwigumeong byeotdeul ttaekkaji
Haega tteul ttaekkaji

Yolo yolo yolo yo
Yolo yolo yo
Tangjinjaem tangjinjaem tangjinjaem
Yolo yolo yolo yo
Where my money yah
Tangjinjaem tangjinjaem tangjinjaem
Yolo yolo yolo yo
Yolo yolo yo
Tangjinjaem tangjinjaem tangjinjaem
Yolo yolo yolo yo
Where the party yah
Tangjinjaem tangjinjaem tangjinjaem

Where my money yah?
Where the party yah?
Nae iljuil wolhwasumok
Geumgeumgeumgeum
Nae tongjangeun yah
Mit ppajin dogiya
Nan maeilgachi mul butneun jung

Charari gyang kkaebeoryeo
Geokjeongman hagien urin kkwae jeolmeo
Oneulmaneun gominbodan gohaebeoryeo
Jjolmyeonseo akkidagan ttongi dwaebeoryeo
Mundaebeoryeo

Dollar dollar
Haruachime jeonbu tangjin
Dallyeo dallyeo man I spend it like some party
Dollar dollar
Jwigumeong byeotdeul ttaekkaji
Haega tteul ttaekkaji

Yolo yolo yolo yo
Yolo yolo yo
Tangjinjaem tangjinjaem tangjinjaem
Yolo yolo yolo yo
Where my money yah
Tangjinjaem tangjinjaem tangjinjaem
Yolo yolo yolo yo
Yolo yolo yo
Tangjinjaem tangjinjaem tangjinjaem
Yolo yolo yolo yo
Where the party yah
Tangjinjaem tangjinjaem tangjinjaem

Gominboda go
Gominboda go
Gominboda go go (everybody!)
Gominboda go
Gominboda go
Gominboda go go (everybody!)

Gominboda go
Gominboda go
Gominboda go go (everybody!)
Gominboda go
Gominboda go
Gominboda go go (everybody!)

Gominboda go
Gominboda go
Gominboda go go (everybody!)
Gominboda go
Gominboda go
Gominboda go go (everybody!)

English song of BTS

Dollar dollar
Squandering it all in one day
Run, run, I make and waste my own money
Run, run, run, run
Run, run
I want to be cruisin’ on the bay
I want to be cruisin’ like Nemo
No money but I wanna go far away
I don’t have money but I wanna relax
No money but I wanna eat Jiro Ono’s sushi

Worked hard to get my pay
Gonna spend it all on my stomach
Pinching pennies to spend it all on wasting it
Leave me be, even if I overspend
Even if I break apart my savings tomorrow
Like a crazy guy

Woo there’s no tomorrow
There’s already a mortgage on my future
Woo spending my money even more
Friends, wassup
Do you want some?

Dollar dollar
Squandering it all in one day
Run, run, man I spend it like some party
Dollar dollar
Till the sun shines through this mouse hole
Till the sun comes up

Yolo yolo yolo yo
Yolo yolo yo
Squandering fun, squandering fun, squandering fun
Yolo yolo yolo yo
Where my money yah
Squandering fun, squandering fun, squandering fun
Yolo yolo yolo yo
Yolo yolo yo
Squandering fun, squandering fun, squandering fun
Yolo yolo yolo yo
Where the party yah
Squandering fun, squandering fun, squandering fun

Where my money yah?
Where the party yah?
My week goes Monday, Tuesday, Wednesday, Thursday
Gold gold gold gold¹
My bank account
Is a pot with no bottom
Every day, I’m pouring water into it

Just break it apart
We’re too young to just worry
For today, just go instead of worrying
If you get scared and say you’re saving, it becomes poop
So rub it all around

Dollar dollar
Squandering it all in one day
Run, run, man I spend it like some party
Dollar dollar
Till the sun shines through this mouse hole
Till the sun comes up

Yolo yolo yolo yo
Yolo yolo yo
Squandering fun, squandering fun, squandering fun
Yolo yolo yolo yo
Where my money yah
Squandering fun, squandering fun, squandering fun
Yolo yolo yolo yo
Yolo yolo yo
Squandering fun, squandering fun, squandering fun
Yolo yolo yolo yo
Where the party yah
Squandering fun, squandering fun, squandering fun

Just go instead of worrying
Just go instead of worrying
Just go instead of worrying (everybody!)
Just go instead of worrying
Just go instead of worrying
Just go instead of worrying (everybody!)

Just go instead of worrying
Just go instead of worrying
Just go instead of worrying (everybody!)
Just go instead of worrying
Just go instead of worrying
Just go instead of worrying (everybody!)

Just go instead of worrying
Just go instead of worrying
Just go instead of worrying (everybody!)
Just go instead of worrying
Just go instead of worrying
Just go instead of worrying (everybody!)"
Love Yourself Her,2017,OUTRO: Her,"[Verse 1: RM]
The world is a complex
We wus lookin’ for love
I was just one of those people
Didn’t even believe in true love
Just said I wanted to be in love like a habit
But I found myself
The whole new myself
I’m confused too, which one’s the real me?
Did you figure out that I’m a book after I met you?
Or did you turn my page?
Damn
Anyway, I wanna be the best man for you
Of course, you’re the world to me
When you said you wanted to die with me
I promised to be the man you want, God I swore to myself
So many complex
But I’m lookin’ for love
I don’t care if it’s a fake me, if you hold me
You’re my beginning and my end
So you finish me

[Chorus: RM]
All of my wonder
You’re the answer
I call you her, her
'Cause you’re my tear, tear
All of my wonder
You’re the answer
I call you her, her
'Cause you’re my tear, tear

[Verse 2: Suga]
Maybe I’m your truth and your lie
Maybe I’m your love and hate
Maybe I’m your enemy and friend
Your heaven and hell, your pride and embarrassment
I can never take off the mask
Because the me behind this mask
Is not the one you know
Make up to wake up today too
And dress up to mask on
In order to become the me that you love
In order to become the one that you love
I quit the XX that I liked so much
Just for you
I put on clothes I hate, excessive make up
Because your laughter and happiness is the scale of my happiness
This is how I am, do I deserve your love?
I always make an effort to be the best for you
I hope you don’t know this part of me

[Chorus: Suga]
All of my wonder
You’re the answer
I call you her, her
'Cause you’re my tear, tear
All of my wonder
You’re the answer
I call you her, her
'Cause you’re my tear, tear

[Verse 3: J-Hope]
Just like always, mask on
Greeting me with cheers, her
I’m your star, I shine as if nothing’s wrong
But the moment I should shine the most, I take my mask off
Lost star, I’m laying down my burdens, enjoying the darkness
There’s no lights to shoot at me as if it’s killing me
Just going wherever my heart goes
However my senses lead me, whatever doesn’t hold me down
Tick tock the dark is over
Once again, to be your best
I’m holding onto myself
Love makes a person go crazy
Yeah, this is a crazy guy’s determination
Substituting myself to be the most me
For you, who is my everything, I’m giving you the answer I came up with
But you love that
So through that, I’m making an effort
With your existence, I find new meaning and the night shines
Now I know, even after the darkness
To me, you are the morning
You woke me up

[Chorus: J-Hope]
All of my wonder
You’re the answer
I call you her, her
'Cause you’re my tear, tear
All of my wonder
You’re the answer
I call you her, her
'Cause you’re my tear, tear"
Love Yourself Her,2017,SKIT:Hesitation & Fear,
Love Yourself Her,2017,Sea,"[Intro: Jungkook]
Oh, ah, yeah

[Verse 1: Rap Monster]
I just started walking and ended up at the sea
I’m looking at the coast from here
There’s endless sand and the rough wind
I’m still looking at a desert
I wanted to have the sea so I swallowed you up
But I’m even thirstier than before
Is what I know really the ocean?
Or a blue desert?

[Refrain: J-Hope]
I don’t know, I don’t know
If I'm feeling the waves right now, yeah
I don’t know, I don’t know
If I'm being chased by the sand wind, yeah
I don’t know, I don’t know
Is this the sea or the desert?
Is this hope or despair?
Is this real or fake? shit

[Pre-Chorus: J-Hope]
I know, I know, my hardship right now
I know, I know, I’ll overcome
I know, I know, open me up
It’s the place I can rely on
Think positive, I’m swallowing my dry spit
Even if I’m nervous, even if I’m in a desert
I’m in the beautiful Namib Desert

[Chorus: Jimin, Jin]
Where there is hope, there is always hardship
Where there is hope, there is always hardship
Where there is hope, there is always hardship
Where there is hope, there is always hardship

[Hook: V, Jungkook]
Where there is hope
You know, you know
You know, yeah yeah
Where there is hope
You know, you know
You know, yeah yeah

[Verse 2: Suga]
I thought this was the ocean but it’s a desert
A medium-sized, ordinary idol was my second name
Countless people get cut from broadcast
But someone’s empty spot is our dream
They say some of these kids can’t make it cuz their agency is too small
I know, I know, I know too
Times when the seven of us had to sleep in one room
With foolish hope that tomorrow will be different before we fell asleep
We saw the mirage in the desert but we couldn’t grasp it
Praying that we’ll remain in this desert till the end
Praying that this isn’t truly our reality

[Verse 3: Suga]
In the end, we reached the mirage and it became our reality
The scary desert became the ocean with our blood, sweat and tears
But why is there this fear in between the happiness?
Because we know too well that this place is really a desert

[Refrain 2: Suga]
I don’t wanna cry
I don’t wanna rest
No, who cares if we rest a little?
No no no
I don’t wanna lose
It’s always a desert
I told you everything
Then I’ll just be more depressed

[Chorus: Jungkook, V]
Where there is hope, there is always hardship
Where there is hope, there is always hardship

[Hook: Jimin, Jin]
Where there is hope
You know, you know
You know, yeah yeah
Where there is hope
You know, you know
You know, yeah yeah

[Bridge: Rap Monster]
Ocean, desert, the world
Everything, the same thing
Different name
I see ocean, l see desert
I see the world
Everything's, the same thing
With a different name
It’s life again

[Hook: V, Jungkook]
Where there is hope
You know you know you know yeah
Where there is hope
You know you know you know yeah

[Chorus: Jin, Jungkook, Jimin]
Where there is hope, there is always despair
Where there is hope, there is always despair

[Outro: V]
We need to be in despair, for all our hardships
We need to be in despair, for all our hardships"
