album,year,song,lyrics
Love Yourself Tear,2018,INTRO: Singularity,"[Verse 1]
A sound of something breaking
I awake from sleep
A sound full of unfamiliarity
Try to cover my ears but can’t go to sleep

[Pre-Chorus]
The pain in my throat gets worse
Try to cover it
I don’t have a voice
Today I hear that sound again

[Chorus]
It’s ringing again, that sound
A crack again on this frozen lake
I dumped myself into the lake
I buried my voice for you

[Verse 2]
Over the winter lake I was thrown
A thick ice has formed atop
A winter lake on which I was thrown away
A thick ice has formed
In the dream I shortly went into
My agonizing phantom pain is still the same

[Pre-Chorus]
Have I lost myself
Or have I gained you
I suddenly run to the lake
There’s my face in it

[Chorus]
Please don't say anything
Reach my hand out to cover the mouth
But in the end, spring will come someday
The ice will melt and flow away

[Chorus]
Tell me if my voice isn't real
If I shouldn’t have thrown myself away
Tell me if even this pain isn’t real
What I was supposed to do back then"
Love Yourself Tear,2018,Fake Love,"I've been spending all night long
Tryna find the memories for a love song
All them girls they on my phone
But I know that shit don't mean
Nothing at all (nothing at all)
I used to hear the sound of fear
That could stop me
But I've been dedicated to those
Who love me
And now I'm hella faded in my zone
Leaving all my past behind
My back though

I’m so sick of this
Fake love, fake love, fake love oh
I’m so sorry but it’s
Fake love, fake love, fake love oh

I wanna be a good man
Just for you
A fucking good man
Just for you
I don't want nothing
Just for you
Now I don't know me
Who are you?
Look, mama told me don't
Don't trust a clever girl
But I couldn't tell myself ""no""
And I just want, I just want more
Baby, cold hearted
Baby, you started
Faking the passionate love
Maybe you hottie
Maybe you naughty
But I'm sorry you hurt me enough

I've been spending all night long
Tryna find the memories for a love song
All them girls they on my phone
But I know that shit don't mean
Nothing at all (nothing at all)
I used to hear the sound of fear
That could stop me
But I've been dedicated to those
Who love me
And now I'm hella faded in my zone
Leaving all my past behind
My back though

Love you so bad, love you so bad
Love used to be so innocent with no lies
Love you so mad, love you so mad
But you just don't wanna compromise
All this time
Love you so bad, love you so bad
Love used to be so innocent with no lies
Love you so mad, love you so mad
But you just don't wanna compromise
All this time

I’m so sick of this
Fake love, fake love, fake love oh
I’m so sorry but it’s
Fake love, fake love, fake love oh"
Love Yourself Tear,2018,The Truth Untold,"[Verse 1: V]
Full of loneliness
This garden bloomed
Full of thorns
I bind myself in this sand castle

[Verse 2: Jungkook]
What is your name
Do you have a place to go
Oh could you tell me?
I saw you hiding in this garden

[Pre-Chorus: Jin]
And I know
All of your warmth is real
The blue flower your hand was picking
I want to hold it but

[Chorus: Jimin]
It’s my fate
Don’t smile to me
Lie to me
Because I can’t get closer to you
There’s no name you can call me

[Post-Chorus: Jungkook]
You know that I can’t
Show you me
Give you me
I can’t show you a ruined part of myself
Once again I put a mask on and go to see you
But I still want you

[Verse 3: Jin]
Bloomed in a garden of loneliness
A flower that resembles you
I wanted to give it to you
After I take off this foolish mask

[Pre-Chorus: Jimin]
But I know
I can't do that forever
I have to hide
Because I'm a monster

[Chorus: V]
I am afraid
I am shattered
I’m so afraid
That you will leave me again in the end
Once again I put on a mask and go to see you

[Post-Chorus: Jungkook]
The only thing I can do
In the garden
In this world
Is to bloom a pretty flower that resembles you
And to breathe as the me that you know
But I still want you
I still want you

[Chorus: Jin]
Maybe back then
A little
Just this much
If I had the courage to stand before you
Would everything be different now

[Bridge: Jimin, Jungkook]
I'm crying
That’s disappeared
That’s fallen
Left alone in this sandcastle
Looking at this broken mask

[Outro: Jimin, Jungkook]
And I still want you
But I still want you
But I still want you
And I still want you"
Love Yourself Tear,2018,134340,"[Verse 1: V, Jungkook]
If only I could, I wanted to ask you
Why did you do that back then? Why did you kick me out?
Without a name to myself, I still revolve around you
Our goodbye is colorless, that unchanging color

[Verse 2: RM]
There’s no name allowed for me
I, too, used to be your star
You must feel nice to be the light
All I did was to receive you

What meaning is left of the fallen planet’s remaining life
I’ll receive it til I die, your stifling stare
I still orbit you, and nothing’s changed
If love has no name, everything has changed

Could it be really that you’ve found Eris
Tell me, how am I not as good as that moon
Us is the plural form of U
Maybe I wasn’t there from the start

Someday, you’ll also understand my words
My seasons were always you
My cold heart is 248 degrees below zero
It stopped the day you erased me
Damn

[Pre-Chorus: Jimin, Jin]
I’m just orbiting you
(I missed you, I lost you)
I’m just going in circles
(You erased me, you forgot me)

[Chorus: Jungkook, V]
I once belonged in a world under the sun
(The song paused, the song stopped)
A smoky layer of mist in the heart of the stars
(You erased me, you forgot me)

[Verse 3: Suga]
It’s not much different from yesterday ay
Same old days, except you’re not here
We were together just up until yesterday ay
But it’s to the point where it’s scary, same days but no you

I’ll be honest, even up until one year without you
I was fine, I didn’t have any feelings left
The last day I had forgotten
I don’t even remember your scent

But wait, I’ve smelled this perfume somewhere, ay
Just when my memory was about to come back
I turned my head around and saw you
You’re smiling brightly, but beside you there’s

Ah (Hello?) Hello
How are you? I’m doing okay
Unlike my heart, that feels like it’ll explode
The temperature right now is -248 degrees

[Pre-Chorus: Jin, Jungkook]
I’m just orbiting you
(I missed you, I lost you)
I’m just going in circles
(You erased me, you forgot me)

[Chorus: Jungkook, Jimin]
I once belonged in a world under the sun
(The song paused, the song stopped)
A smoky layer of mist in the heart of the stars
(You erased me, you forgot me)

[Bridge: Jin, J-Hope]
I’m just orbiting you
(Beyond the fog, I watch you as you continue to smile
Without you or anything
There’s no meaning to my irregular orbit)

I’m just going in circles
(I’m just a hard number to remember
And the Pluto of darkness
But I’ll continue to orbit around you forever, damn)

[Pre-Chorus: V, Jungkook]
I’m just orbiting you
(I missed you, I lost you)
I’m just going in circles
(You erased me, you forgot me)

[Chorus: Jungkook, Jimin]
I once belonged in a world under the sun
(The song paused, the song stopped)
A smoky layer of mist in the heart of the stars
(You erased me, you forgot me)"
Love Yourself Tear,2018,낙원 (Paradise),"[Verse 1: Jungkook]
Marathon marathon
Life’s long so take it slow
42.195
The end is filled with a paradise of dreams

[Pre-Chorus: Jimin, Jimin & Jungkook]
But the real world is
Different from what’s promised
We need to run, we need to step on it
If you shoot a flare
You don’t have a destination
There’s no sceneries at all
Until your breath comes up to your chin
You need to you need to

[Chorus: V, Jungkook, Jin, Jimin]
It’s alright to stop
There’s no need to run without even knowing the reason
It’s alright to not have a dream
If you have moments where you feel happiness for a while
It’s alright to stop
Now we don’t run without knowing the destination
It’s alright to not have a dream
All the breaths you breathe are already in paradise

[Verse 2: RM]
We borrow dreams from others (Like a debt)
We learn that we need to become great (Like a light)
Your dream. Is actually a burden
If having a future is the only dream existing
Then what is the dream you had last night in your bed?
It’s alright if the name of the dream is different
Be it buying a laptop next month
Or just eating and sleeping
Not doing anything at all yet still having a lot of money
Who says a dream must be something grand
Just become anybody
We deserve a life
Whatever big or small, you are you after all

[Pre-Chorus: Jimin, Jimin & Jungkook]
But the real world is
Different from what’s promised
We need to run, we need to step on it
If you shoot a flare
You don’t have a destination
There’s no sceneries at all
Until your breath comes up to your chin
You need to you need to

[Chorus: V, Jungkook, Jin, Jimin]
It’s alright to stop
There’s no need to run without even knowing the reason
It’s alright to not have a dream
If you have moments where you feel happiness for a while
It’s alright to stop
Now we don’t run without knowing the destination
It’s alright to not have a dream
All the breaths you breathe are already in paradise

[Verse 3: Suga]
I don’t have a dream
To dream is sometimes scary
To just live like this
To survive like this is a small dream to me
To have a dream, to grasp a dream
To breathe, is sometimes too much to handle
Saying this person’s living like this, that person’s living like that
The world’s hurling at me

[Verse 4: J-Hope]
Yeah
The world doesn’t have the right to swear
What is the way to dream a dream
Since they never taught us that
In the made up dream, sleep-talk of tears
I wake you up from the nightmare for you
Now let’s try to smile everyday, in that paradise

[Chorus: V, Jimin]
It’s alright to stop
Now we don’t run without even knowing the destination
It’s alright to not have a dream
All the breaths you breathe are already in paradise

[Bridge: All]
Stop runnin’ for nothin’ my friend
Now stop that foolish race
Stop runnin’ for nothin’ my friend
All the breaths you breathe are already in paradise
Stop runnin’ for nothin’ my friend
You don’t need something like a dream that everyone dreams
Stop runnin’ for nothin’ my friend
Every language that makes you, is already in paradise"
Love Yourself Tear,2018,Love Maze,"[Intro: Jungkook]
Cause' I’ll be in love maze
Cause' I’ll be in love maze

[Verse 1: Jimin]
Trapped in a maze of decisions
Exhausted by all the different chaos
We’ve wandered around, looking for the answer
Lost in the maze, in the darkness

[Verse 2: Jungkook]
We ran and ran endlessly
But all the fake noise
Can’t tear us apart
It’s true baby

[Refrain: Jimin, Jin]
We must believe only in ourselves
Can’t let go of each other’s hands
We need to be together forever

[Verse 3: RM]
People say
That I’ll end up a fool
But I don’t wanna use my head
I don’t wanna calculate
Love ain’t a business
Rather like a fitness
I’ve never been in a calculating love
I know it’ll be cold like winter
But I still wanna try
If you push me, I’ll fall, just raise me up again
Even if I pull, you don’t have to come
Let them be them
Let us be us
Love is a maze damn
But you is amaze yeah

[Chorus: Jimin, V]
Take my ay ay hand, don’t let go
Lie ay ay in this maze
My ay ay never lose me
In love maze
Take my ay ay hand, don’t let go
My ay ay come closer
My ay ay never go away
In love maze

[Hook: Jimin, Jin]
No matter what others say, don’t listen
Just let’em talk, whatever they say
The more they do, the more I’m sure
Yeah yeah yeah
Yeah yeah yeah

[Refrain: Jimin, Jin]
Can’t you hear me, you have to trust me
Baby just don’t give a damn
Promise, promise me

[Verse 4: Suga]
All around us is a maze, different paths
We’re walking in this abyss
There’s a thin light over there
I hope we’re going toward paradise
Know this, sometimes lies will try to tear us apart
Hardships will try to deceive us but
Just focus on me then
In the darkness, just the two of us is enough
In all these lies
If we’re together, even an endless maze is paradise

[Chorus: Jin]
Take my ay ay hand, don’t let go
Lie ay ay in this maze
My ay ay never lose me
In love maze

[Verse 5: J-Hope]
What can we do? We did the official thing
So we need to follow the rules
Even in this wandering maze
Even on this mysterious path
We’re taking care of each other
I always think, even if eternity is hard
I wanna try it, let’s be forever
Our own mountain, our own climb
Our own world, our own heart
Travel toward the exit
Held together, our hands become a map

[Chorus: Jungkook, V]
Take my ay ay hand, don’t let go
Lie ay ay in this maze
My ay ay never lose me
In love maze
Take my ay ay hand, don’t let go
My ay ay come closer
My ay ay never go away
In love maze"
Love Yourself Tear,2018,Magic Shop,"[Verse 1: V, Jungkook]
I know that you’re hesitating because even if you say the truth
In the end it will all return as scars
I’m not going to say anything blatant like “find strength”
I will let you hear my story, let you hear it

[Verse 2: RM]
What did I say?
I said you’d win, didn’t I?
I couldn’t believe it (really)
Could I win it?
This miracle that isn’t a miracle
Did we make it?
(No) I was here
You were the one that made your way to me
I do believe your galaxy
I want to listen to your melody
Your stars in the Milky Way
Don’t forget that I found you anyways
At the end of my despair
You’re the last reason
For me who was standing at the edge of the cliff
Live

[Pre-Chorus: Jin, Jimin]
On days I hate being myself, days I want to disappear forever
Let's make a door in your heart
Open the door and this place will await
It's okay to believe, the Magic Shop will comfort you

[Chorus: Jungkook, Jimin]
While drinking a glass of hot tea
And looking up at the Milky Way
You’ll be alright, oh, this here is the Magic Shop

[Hook: Jungkook/Jimin/V/Jin, All]
So show me (I'll show you)
So show me (I'll show you)
So show me (I'll show you)
Show you show you

[Verse 3: J-Hope, Suga]
Like a rose when blooming
Like cherry blossoms when being scattered in the wind
Like morning glory when fading
Like that beautiful moment
I always want to be the best
So I was impatient and always restless
Comparing myself with others became my daily life
My greed that was my weapon suffocated me and also became a leash
But looking back on it now, truthfully
I feel like it’s not true that I wanted to be the best
I wanted to become your comfort and move your heart
I want to take away your sadness, and pain

[Pre-Chorus: Jungkook, Jin]
On days where I hate myself for being me, on days where I want to disappear forever
Let's make a door. It's in your heart
Open the door and this place will await
Magic Shop

[Chorus: V, Jin]
While drinking a glass of hot tea
And looking up at the Milky Way
You’ll be alright, oh, this here is the Magic Shop

[Hook: Jungkook/Jimin/V/Jin, All]
So show me (I'll show you)
So show me (I'll show you)
So show me (I'll show you)
Show you show you

[Bridge: V, Jimin]
Would you believe me if I said that I was scared of everything too?
All the sincerity, the remaining times
All your answers are in this place you found
In your Milky Way, inside your heart

[Chorus: All]
You gave me the best of me
So you'll give you the best of you
You found me. You knew me
You gave me the best of me
So you'll give you the best of you
You'll find it, the galaxy inside you

[Hook: Jungkook/Jimin/V/Jin, All]
So show me (I'll show you)
So show me (I'll show you)
So show me (I'll show you)
Show you show you"
Love Yourself Tear,2018,Airplane pt. 2,
Love Yourself Tear,2018,Anpanman,"[Intro: V]
Waiting for you, Anpanman
Waiting for you, Anpanman

[Verse 1: J-Hope]
I don’t have biceps or pecs
I don’t have a super car like Batman
The ideal hero is my fantasy
But all I can give you is Anpan
I’ve dreamed of becoming a hero like Superman
I ran with all my strength, jumping high up in the sky
I’m not afraid of little things like bruising my knees
A innocent fantasies of my childhood

[Verse 2: Suga]
I’m not a superhero
Don’t expect a lot
I can be your hero
I’m really not sure whether that even makes sense
But mom, I really need to do it
Who’s gonna do it if it isn’t me?
You can call me, say Anpan

[Pre-Chorus: V, Jungkook, Jimin, RM, J-Hope, Suga, Jin]
Waiting for you, Anpanman
(Lemme hear ya say, lemme hear ya say)
Waiting for you, Anpanman
(Turn it up, turn it up, turn it up)
I’ll muster up the strength a little more
(Lemme hear ya say, lemme hear ya say)
I’ll be your strength
(Turn it up, turn it up, turn it up)

[Chorus: Jungkook, V, Jimin, RM, J-Hope, Suga, Jin]
Keep spinning and spinning my Anpan
Keep ballin’, ballin’ still Bangtan
As I open my eyes, I’m a hero, but still in maze
That young man, young man, young man
Keep secretly, secretly getting covered in bruises
But ballin’, ballin’ still Bangtan
Even if I’m hurt, I’m a hero, Put the fear behind
Anpanman, panman, panman

[Hook: Suga, J-Hope]
I’m a new generation, Anpanman
I’m a new superhero, Anpanman
All I have is this one song
Lemme say “All the bad men, cop out”
I’m a new generation, Anpanman
I’m a new superhero, Anpanman
All I have is this song
Lemme say “All the bad men, cop out”

[Verse 3: RM]
Sometimes I’m afraid of all this
Because I came to have so many things that I love
Some say, you’re almost an old fossil now
You’re not qualified, Just do what you’ve been doing before
But I still want to be a hero
All I can give you is Anpan
And a word, ""You’ve worked hard,""
But I’ll fly to you right away if you call me
Please call me

[Pre-Chorus: Jin, Jungkook, V, Jimin, RM, J-Hope, Suga]
Waiting for you, Anpanman
(Lemme hear ya say, lemme hear ya say)
Waiting for you, Anpanman
(Turn it up, turn it up, turn it up)
I’ll muster up the strength a little more
(Lemme hear ya say, lemme hear ya say)
I’ll be your strength
(Turn it up, turn it up, turn it up)

[Chorus: Jungkook, V, Jimin, RM, J-Hope, Suga, Jin]
Keep spinning and spinning my Anpan
Keep ballin’, ballin’ still Bangtan
As I open my eyes, I’m a hero, but still in maze
That young man, young man, young man
Keep secretly, secretly getting covered in bruises
But ballin’, ballin’ still Bangtan
Even if I’m hurt, I’m a hero, Put the fear behind
Anpanman, panman, panman

[Bridge: Jungkook, Jimin]
To be honest
I’m scared of falling
And of letting you down
But, even if it takes up all my strength
I will be sure that I stay by your side
Although I’ll fall again
I’ll make a mistake again
And I’ll be covered in mud
I believe in myself because I’m a hero
Yeah, yeah

[Chorus: Jungkook, V, Jimin, RM, J-Hope, Suga, Jin]
Keep spinning and spinning my Anpan
Keep ballin’, ballin’ still Bangtan
As I open my eyes, I’m a hero, but still in maze
That young man, young man, young man
Keep secretly, secretly getting covered in bruises
But ballin’, ballin’ still Bangtan
Even if I’m hurt, I’m a hero, Put the fear behind
Anpanman, panman, panman

[Hook: J-Hope, RM]
I’m a new generation, Anpanman
I’m a new superhero, Anpanman
What I have is a single blow of this song
Lemme say “All the bad men, cop out”
I’m a new generation, Anpanman
I’m a new superhero, Anpanman
What I have is a single blow of this song
Lemme say “All the bad men, cop out”"
Love Yourself Tear,2018,So What,"[Intro: Jungkook]
Somebody call me right one
Somebody call me wrong
I’m not gonna care about it
Why don’t you not do so as well
So what
Let go

[Verse 1: J-Hope]
In a sigh, lots of worries are hiding
Stop thinking about it, You already know it all
In the middle of the road, in the moment you want to give up
Shout out louder
So what, what, what

[Verse 2: Suga]
There’s nothing that works out as I wanted
There’s even fewer places for me to hide
It’s already been a while since the dice were rolled
If you dawdle, you’ll be swept away, oh bae
90% of your worries are an imaginary swamp that you created
Just go instead of worrying
Don’t get scared, cheer up
Shout it out, so what, what

[Pre-Chorus: Jimin, Jungkook]
We are, we are, we are
Young & wild & free
Your worries, worries, without no answer
Don’t fall into them and stay in them

[Pre-Chorus: Jimin]
Even if you’re in danger on the boundary
Let’s cut through the wind while laughing and chatting
Sometimes run like a fool
With mistakes and in tears, we just go

[Chorus: Jungkook, Jin]
So what
Don’t stop and worry yourself
It’s good for nothing
Let go
Although there’s no answer yet
You can start the fight

[Hook: Jungkook, Jin]
So what
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh
Let go
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh
So what

[Verse 3: J-Hope]
Ay some say they hate their work
Ay some say they only want to rest
Ay their pain and devastation
Ay when all those rage at me
Ay what else can I do, uh
Since there’s only one answer, uh
Let’s just trust it and run
So what?

[Verse 4: RM]
I don’t wanna die right now
I don’t wanna, I don’t wanna fight right now
I don’t like worries, Life is long
Just go, I wanna live right now
Since the brake is broken, step on the accelerator
However you do
Where’s the fun if you know all about a person’s life
Pain is my medal
So, so what?

[Pre-Chorus: Jin]
We are, we are, we are
Young & wild & free
Your worries, worries without no answer
Don’t fall into them and stay in them

[Pre-Chorus: Jungkook, Jimin]
Even if you’re in danger on the boundary
Let’s cut through the wind while laughing and chatting
Sometimes run like a fool
With mistakes and in tears, we just go

[Chorus: V, Jimin]
So what
Don’t stop and worry yourself
It’s good for nothing
Let go
Although there’s no answer yet
You can start the fight

[Hook: Jimin, Jin]
So what
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh
Let go
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh

[Bridge: V, Jin]
Somebody call me right one
Somebody call me wrong
I’m not gonna care about it
Why don’t you not do so as well

[Chorus: Jungkook, Jin]
So what
Don’t stop and worry yourself
It’s good for nothing
Let go
Although there’s no answer yet
You can start the fight

[Hook: Jungkook, Jin]
So what
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh
Let go
Oh oh oh oh oh oh oh oh oh oh
Oh oh oh oh oh oh
So what

[Outro: Jimin]
Somebody call me right one
Somebody call me wrong
I’m not gonna care about it
Why don’t you not do so as well"
